Joueur,1stIn,1stWon,2ndWon,SvGms,ace,bpFaced,bpSaved,df,ht,minutes,rank,rank_points,surface_winrate,Toutes,surface_winrate_lastear,svpt,total_games,age,player_url,residence,birthplace,birthdate,turned_pro,weight_kg,backhand,winner,vic_tournoi_A,vic_tournoi_F,vic_tournoi_G,vic_tournoi_M,vic_tournoi_carpet,vic_tournoi_clay,vic_tournoi_grass,vic_tournoi_hard,hand,country,Clay,Grass,Hard
Alexander Zverev,50,38,13,13,9,6,4,4,198,110,20,4542,0.6698469961184823,0.6481809508713898,0.5528364750739407,77,26,25.7,http://www.atpworldtour.com/en/players/alexander-zverev/z355/overview,"Monte Carlo, Monaco","Hamburg, Germany",1997-04-20,2013.0,86.0,Two-Handed Backhand,Alexander Zverev,12.0,2.0,,5.0,,6.0,,13.0,R,GER,0.693069306930693,0.6285714285714286,0.6359447004608295
Alexandr Dolgopolov,45,33,19,13,8,6,4,2,180,101,36,1338,0.4986231632303514,0.4964372071108314,0.4931485181485181,81,26,29.5,http://www.atpworldtour.com/en/players/alexandr-dolgopolov/d801/overview,"Monte Carlo, Monaco","Kiev, Ukraine",1988-11-07,2006.0,71.0,Two-Handed Backhand,Alexandr Dolgopolov,3.0,,,,,2.0,,1.0,R,UKR,0.4646464646464645,0.4838709677419355,0.5187165775401069
Alexei Popyrin,45,32,14,12,8,7,4,4,196,97,115,615,0.3793017039759438,0.3125,0.274390243902439,74,24,23.4,,,,,,,,Alexei Popyrin,1.0,,,,,,,1.0,R,AUS,0.25,0.0,0.3333333333333333
Aljaz Bedene,48,35,18,14,9,6,3,3,181,120,77,768,0.3942877837138331,0.4119698715978553,0.1675477239353891,84,28,33.0,http://www.atpworldtour.com/en/players/aljaz-bedene/bh09/overview,"London, Great Britain","Ljubljana, Slovenia",1989-07-18,2008.0,72.0,Two-Handed Backhand,,,,,,,,,,R,SLO,0.4302325581395348,0.36,0.4134615384615384
Andreas Beck,52,35,18,13,5,8,5,5,190,116,95,718,0.3120530012771392,0.3491929993191557,0.0,87,27,28.9,http://www.atpworldtour.com/en/players/andreas-beck/ba86/overview,"Stuttgart, Germany","Weingarten, Germany",1986-02-05,2003.0,89.0,Two-Handed Backhand,,,,,,,,,,L,GER,0.3170731707317073,0.5714285714285714,0.3
Andreas Haider Maurer,44,31,16,12,6,8,5,5,190,104,175,497,0.2922660346189757,0.3281619281619281,0.0,81,26,31.1,,,,,,,,,,,,,,,,,R,AUT,0.3409090909090909,0.25,0.3243243243243243
Andreas Seppi,47,33,17,12,5,8,5,3,190,107,55,950,0.4553838116862365,0.4584722877208885,0.3802307917031843,81,25,37.9,http://www.atpworldtour.com/en/players/andreas-seppi/sa93/overview,"Caldaro, Italy","Bolzano, Italy",1984-02-21,2002.0,75.0,Two-Handed Backhand,Andreas Seppi,2.0,,,,,1.0,,1.0,R,ITA,0.4587155963302752,0.5222222222222223,0.438692098092643
Andrei Pavel,51,35,11,11,6,9,6,2,183,95,92,598,0.2939793785852899,0.3394614043964692,0.0292207792207792,78,24,35.6,http://www.atpworldtour.com/en/players/andrei-pavel/p280/overview,USA,"Constanta, Romania",1974-01-27,1995.0,90.0,,,,,,,,,,,R,ROU,0.4848484848484848,0.2857142857142857,0.238095238095238
Andrey Golubev,47,32,17,12,4,7,4,4,185,106,98,637,0.2770541721212818,0.2857889237199582,0.1937931034482758,80,30,28.1,http://www.atpworldtour.com/en/players/andrey-golubev/g806/overview,"Astana, Kazakhstan","Volzhskij, Russia",1987-07-22,2005.0,79.0,One-Handed Backhand,Andrey Golubev,1.0,,,,,1.0,,,R,KAZ,0.2727272727272727,0.0,0.3181818181818182
Andrey Kuznetsov,51,36,17,13,7,7,4,3,185,106,88,670,0.3895729910425862,0.3918133972481799,0.2306763285024154,85,26,31.2,http://www.atpworldtour.com/en/players/andrey-kuznetsov/kb54/overview,"Balashikha, Russia","Tula, Russia",1991-02-22,2008.0,71.0,Two-Handed Backhand,,,,,,,,,,R,RUS,0.4166666666666667,0.3571428571428571,0.3783783783783784
Andrey Rublev,51,37,15,13,6,7,4,3,188,107,44,2381,0.6180937157471684,0.5521856771382387,0.6975392934951758,81,26,25.2,http://www.atpworldtour.com/en/players/andrey-rublev/re44/overview,"Moscow, Russia","Moscow, Russia",1997-10-20,2014.0,68.0,Two-Handed Backhand,Andrey Rublev,13.0,,,,,3.0,,10.0,R,RUS,0.4666666666666667,0.5,0.5806451612903226
Andy Murray,45,33,17,12,7,6,4,3,190,114,31,5360,0.7392822656133287,0.7585901758819249,0.4489879493464052,77,25,35.6,http://www.atpworldtour.com/en/players/andy-murray/mc10/overview,"London, England","Glasgow, Scotland",1987-05-15,2005.0,84.0,Two-Handed Backhand,Andy Murray,28.0,1.0,3.0,13.0,1.0,3.0,8.0,33.0,R,GBR,0.6912751677852349,0.8290598290598291,0.7657657657657657
Andy Roddick,50,39,12,12,12,4,3,2,188,101,9,2799,0.7151744146914252,0.7435428421282023,0.6092427760577914,74,26,29.9,http://www.atpworldtour.com/en/players/andy-roddick/r485/overview,"Austin, Texas, USA","Omaha, Nebraska, USA",1982-08-30,2000.0,88.0,Two-Handed Backhand,Andy Roddick,14.0,,,2.0,1.0,1.0,3.0,11.0,R,USA,0.5609756097560976,0.7872340425531915,0.7416666666666667
Arnaud Clement,46,32,19,12,5,8,5,3,173,115,79,651,0.4185092030087848,0.4305579934858502,0.3843952957697033,82,25,34.4,http://www.atpworldtour.com/en/players/arnaud-clement/c487/overview,"Aix-en-Provence, France","Aix-en-Provence, France",1977-12-17,1996.0,74.0,Two-Handed Backhand,Arnaud Clement,2.0,,,,,,,2.0,R,FRA,0.3333333333333333,0.4814814814814814,0.4473684210526316
Aslan Karatsev,49,35,18,13,5,8,5,4,185,126,54,1500,0.4909638554216867,0.1752008032128514,0.2877434106172589,84,26,29.4,http://www.atpworldtour.com/en/players/aslan-karatsev/kc56/overview,,,1993-09-04,,,Two-Handed Backhand,Aslan Karatsev,3.0,,,,,,,3.0,R,RUS,0.0,0.0,0.25
Benjamin Becker,44,32,17,12,8,6,4,3,178,99,77,697,0.3673721596690347,0.3707944019271619,0.1357310956790123,77,25,35.6,http://www.atpworldtour.com/en/players/benjamin-becker/b896/overview,"Dallas, TX, USA","Merzig, Germany",1981-06-16,2005.0,72.0,Two-Handed Backhand,,,,,,,,,,R,GER,0.2413793103448276,0.5555555555555556,0.3451776649746192
Benoit Paire,46,32,19,13,8,9,5,5,196,104,52,1076,0.4372219568965783,0.4641848549122515,0.1759946541545679,85,26,33.3,http://www.atpworldtour.com/en/players/benoit-paire/pd31/overview,"Geneva, Switzerland","Avignon, France",1989-05-08,2007.0,80.0,Two-Handed Backhand,Benoit Paire,3.0,,,,,3.0,,,R,FRA,0.5035460992907801,0.4358974358974359,0.4425531914893617
Bernard Tomic,54,39,14,13,8,7,5,2,193,101,71,974,0.45816181980039,0.4669416675678023,0.4133674688513398,86,27,28.3,http://www.atpworldtour.com/en/players/bernard-tomic/ta46/overview,"Monte Carlo, Monaco","Stuttgart, Germany",1992-10-21,2008.0,91.0,Two-Handed Backhand,Bernard Tomic,4.0,,,,,,,4.0,R,AUS,0.2765957446808511,0.5283018867924528,0.5074626865671642
Bjorn Phau,40,27,17,11,4,7,4,4,175,94,99,535,0.2296414651869467,0.2209051724137931,0.3658547710271848,74,23,34.3,http://www.atpworldtour.com/en/players/bjorn-phau/p436/overview,"Cologne, Germany","Darmstadt, Germany",1979-10-04,1999.0,70.0,One-Handed Backhand,,,,,,,,,,R,GER,0.2222222222222222,0.0,0.25
Blaz Kavcic,58,39,16,14,5,9,5,4,188,122,102,547,0.3117567052134422,0.3205758891106501,0.1147122524752475,91,29,31.3,http://www.atpworldtour.com/en/players/blaz-kavcic/k834/overview,"Dubai, U.A.E.","Ljubljana, Slovenia",1987-03-05,2005.0,78.0,Two-Handed Backhand,,,,,,,,,,R,SLO,0.3777777777777777,0.0909090909090909,0.3260869565217391
Borna Coric,50,36,16,13,6,6,4,2,188,117,59,1192,0.5178533741146569,0.4890022754927335,0.5459368591934382,82,26,26.2,http://www.atpworldtour.com/en/players/borna-coric/cg80/overview,"Dubai, United Arab Emirates","Zagreb, Croatia",1996-11-14,2013.0,79.0,Two-Handed Backhand,Borna Coric,2.0,,,1.0,,1.0,1.0,1.0,R,CRO,0.5189873417721519,0.2857142857142857,0.5053763440860215
Cameron Norrie,51,36,14,12,5,7,5,3,188,114,48,1666,0.5195406442097196,0.440099635872717,0.5893766908783593,80,25,27.3,http://www.atpworldtour.com/en/players/cameron-norrie/n771/overview,"Fort Worth, TX, USA","Johannesburg, South Africa",1995-08-23,2017.0,80.0,Two-Handed Backhand,Cameron Norrie,1.0,,,1.0,,,,2.0,L,GBR,0.4444444444444444,0.3076923076923077,0.4615384615384615
Carlos Alcaraz,56,39,16,13,3,7,4,2,185,128,51,2556,0.7169078947368421,0.4605263157894737,0.7986319707457228,86,27,19.4,,,,,,,,Carlos Alcaraz,4.0,,1.0,2.0,,4.0,,3.0,R,ESP,1.0,0.0,0.0
Carlos Berlocq,48,33,13,12,3,8,5,3,183,115,68,740,0.373647395331071,0.3951941451941452,0.0208664546899841,77,24,36.0,http://www.atpworldtour.com/en/players/carlos-berlocq/b884/overview,"Buenos Aires, Argentina","Chascomus, Argentina",1983-02-03,2001.0,81.0,One-Handed Backhand,Carlos Berlocq,2.0,,,,,2.0,,,R,ARG,0.4545454545454544,0.3076923076923077,0.2777777777777778
Carlos Moya,52,37,18,13,6,8,5,3,190,112,52,1113,0.5387068320151027,0.5547675986519575,0.2492424242424242,87,27,33.5,http://www.atpworldtour.com/en/players/carlos-moya/m605/overview,"Geneva, Switzerland","Palma de Mallorca, Spain",1976-08-27,1995.0,86.0,Two-Handed Backhand,Carlos Moya,3.0,,,,,2.0,,1.0,R,ESP,0.5774647887323944,0.0,0.5405405405405406
Casper Ruud,49,35,15,12,5,6,3,2,183,109,42,2563,0.5917844915744075,0.3868448825169255,0.6839351851851851,76,25,24.0,http://www.atpworldtour.com/en/players/casper-ruud/rh16/overview,"Oslo, Norway","Oslo, Norway",1998-12-22,2015.0,77.0,Two-Handed Backhand,Casper Ruud,6.0,,,,,5.0,,1.0,R,NOR,0.5777777777777777,0.0,0.2258064516129032
Chris Guccione,48,39,16,13,14,5,4,3,201,93,141,384,0.3411420500403551,0.3452380952380952,0.2464285714285714,81,27,28.8,http://www.atpworldtour.com/en/players/chris-guccione/g621/overview,"New York, NY, USA","Melbourne, Australia",1985-07-30,2003.0,92.0,One-Handed Backhand,,,,,,,,,,L,AUS,0.0,0.3636363636363636,0.3703703703703703
Christophe Rochus,45,30,13,11,2,8,4,3,170,92,79,689,0.2853459164245773,0.2966372493567563,0.1593262946204122,74,23,31.5,http://www.atpworldtour.com/en/players/christophe-rochus/r336/overview,"Auvelais, Belgium","Namur, Belgium",1978-12-15,1996.0,68.0,One-Handed Backhand,,,,,,,,,,R,BEL,0.34375,0.0,0.3235294117647059
Corentin Moutet,55,36,13,13,2,9,5,3,178,125,90,719,0.4398675284653712,0.3664098613251155,0.438828967642527,84,27,23.5,http://www.atpworldtour.com/en/players/corentin-moutet/mw02/overview,,"Neuilly, France",1999-04-19,,65.0,Two-Handed Backhand,,,,,,,,,,L,FRA,0.5,0.0,0.35
Cristian Garin,54,36,17,13,4,9,5,4,185,122,69,1333,0.4347685185185185,0.4261451318742986,0.4666429249762582,88,27,26.6,,,,,,,,Cristian Garin,4.0,,,,,4.0,,,R,CHI,0.5681818181818182,0.1666666666666666,0.3125
Damir Dzumhur,50,33,14,13,3,9,5,3,172,104,78,829,0.4074179013457374,0.4119163228797781,0.0791592128801431,80,26,30.6,http://www.atpworldtour.com/en/players/damir-dzumhur/d923/overview,"Sarajevo, Bosnia-Herzegovina","Sarajevo, Bosnia-Herzegovina",1992-05-20,2011.0,70.0,Two-Handed Backhand,Damir Dzumhur,3.0,,,,,,1.0,2.0,R,BIH,0.4489795918367347,0.4,0.4
Daniel Brands,53,39,15,13,9,6,4,3,196,103,110,578,0.3574071520500091,0.3613814756671899,0.3258928571428571,83,27,31.5,http://www.atpworldtour.com/en/players/daniel-brands/bc72/overview,"Bogen, Germany","Deggendorf, Germany",1987-07-17,2005.0,92.0,One-Handed Backhand,,,,,,,,,,R,GER,0.4,0.3846153846153846,0.3428571428571428
Daniel Evans,54,38,17,13,5,8,5,3,175,127,70,1222,0.469907068458146,0.4504161176497535,0.4472160859960689,88,28,32.6,http://www.atpworldtour.com/en/players/daniel-evans/e687/overview,"Birmingham, England","Birmingham, England",1990-05-23,2006.0,75.0,One-Handed Backhand,Daniel Evans,1.0,,,,,,,1.0,R,GBR,0.25,0.4,0.4950495049504949
Daniel Gimeno Traver,47,32,16,12,4,8,5,3,185,104,85,669,0.3284626638107858,0.3369326799053167,0.0327726447129432,80,25,32.7,,,,,,,,,,,,,,,,,R,ESP,0.3846153846153846,0.1818181818181818,0.2708333333333333
Daniil Medvedev,46,34,15,12,8,5,3,3,198,105,26,4829,0.6817304355927404,0.6477468865243939,0.6730665245361793,75,25,26.9,http://www.atpworldtour.com/en/players/daniil-medvedev/mm58/overview,"Monte Carlo, Monaco","Moscow, Russia",1996-02-11,2014.0,81.0,Two-Handed Backhand,Daniil Medvedev,10.0,1.0,1.0,4.0,,,1.0,15.0,R,RUS,0.4,0.6071428571428571,0.6904761904761905
David Ferrer,48,33,15,12,3,7,4,3,175,110,15,3326,0.6613202534563931,0.6733232229104953,0.4202087342188013,78,25,37.0,http://www.atpworldtour.com/en/players/david-ferrer/f401/overview,"Valencia, Spain","Javea, Spain",1982-04-02,2000.0,73.0,Two-Handed Backhand,David Ferrer,25.0,,,1.0,,12.0,2.0,12.0,R,ESP,0.7300613496932515,0.6521739130434783,0.6466666666666666
David Goffin,47,33,17,13,5,7,4,4,180,112,32,1908,0.5585833123224717,0.585565920532874,0.3473536504571973,80,26,32.1,http://www.atpworldtour.com/en/players/david-goffin/gb88/overview,"Monte Carlo, Monaco","Rocourt, Belgium",1990-12-07,2009.0,68.0,Two-Handed Backhand,David Goffin,5.0,,,,,1.0,,4.0,R,BEL,0.5784313725490197,0.5128205128205128,0.6006825938566553
David Nalbandian,47,33,16,12,4,7,4,3,180,110,31,1598,0.6337614903892395,0.6379593568001022,0.3925039198069164,79,25,31.2,http://www.atpworldtour.com/en/players/david-nalbandian/n301/overview,"Cordoba, Argentina","Cordoba, Argentina",1982-01-01,2000.0,79.0,Two-Handed Backhand,David Nalbandian,6.0,1.0,,2.0,1.0,3.0,,5.0,R,ARG,0.6707317073170732,0.5625,0.6644295302013423
Denis Istomin,54,39,15,13,7,7,5,2,188,110,67,790,0.4187694106624262,0.4268984644816217,0.2006035969450603,85,27,35.4,http://www.atpworldtour.com/en/players/denis-istomin/i165/overview,"Tashkent, Uzbekistan","Orenburg, Russia",1986-09-07,2004.0,88.0,Two-Handed Backhand,Denis Istomin,1.0,,,,,,1.0,,R,UZB,0.3814432989690721,0.5166666666666667,0.4227642276422764
Denis Kudla,50,35,18,13,6,8,4,3,180,107,106,612,0.3382851564834552,0.3282890804086974,0.2517605633802817,86,27,30.4,http://www.atpworldtour.com/en/players/denis-kudla/kb09/overview,"Arlington, VA/Tampa, FL, USA","Kiev, Ukraine",1992-08-17,2010.0,75.0,Two-Handed Backhand,,,,,,,,,,R,USA,0.2631578947368421,0.4411764705882353,0.2911392405063291
Denis Shapovalov,51,38,18,13,8,7,5,5,185,118,35,1839,0.5374632329875296,0.5151096231056417,0.5891575459757277,85,27,23.7,http://www.atpworldtour.com/en/players/denis-shapovalov/su55/overview,"Nassau, The Bahamas","Tel Aviv, Israel",1999-04-15,2016.0,76.0,One-Handed Backhand,Denis Shapovalov,2.0,,,,,,,2.0,L,CAN,0.4761904761904761,0.2727272727272727,0.5474452554744526
Diego Schwartzman,49,32,15,12,2,8,4,3,170,114,30,1893,0.5152616937516258,0.5082699949962144,0.5363498409947502,79,25,30.0,http://www.atpworldtour.com/en/players/diego-schwartzman/sm37/overview,"Buenos Aires, Argentina","Buenos Aires, Argentina",1992-08-16,2010.0,64.0,Two-Handed Backhand,Diego Schwartzman,3.0,,,,,2.0,,1.0,R,ARG,0.5169491525423728,0.25,0.5214285714285715
Dmitry Tursunov,48,35,17,13,7,7,5,4,185,105,72,940,0.4743727031950634,0.489806092511711,0.0339209401709401,82,26,34.6,http://www.atpworldtour.com/en/players/dmitry-tursunov/t315/overview,"Moscow, Russia","Moscow, Russia",1982-12-12,2000.0,82.0,Two-Handed Backhand,Dmitry Tursunov,7.0,,,,,,2.0,5.0,R,RUS,0.3818181818181818,0.5102040816326531,0.5132743362831859
Dominic Thiem,50,36,17,13,6,6,4,3,185,115,38,3336,0.6255566932320263,0.6421503925536236,0.4096166572796396,82,26,29.1,http://www.atpworldtour.com/en/players/dominic-thiem/tb69/overview,"Lichtenwörth, Austria","Wiener Neustadt, Austria",1993-09-03,2011.0,82.0,One-Handed Backhand,Dominic Thiem,15.0,,1.0,1.0,,10.0,1.0,6.0,R,AUT,0.7398843930635838,0.5416666666666666,0.5752212389380531
Dominik Hrbaty,44,30,16,12,4,8,4,4,183,101,63,1068,0.415438596491228,0.3743888707275434,0.2689035087719298,76,26,32.0,http://www.atpworldtour.com/en/players/dominik-hrbaty/h377/overview,"Monte Carlo, Monaco","Bratislava, Slovakia",1978-01-04,1996.0,79.0,Two-Handed Backhand,,,,,,,,,,R,SVK,0.4285714285714285,0.3333333333333333,0.4492753623188406
Donald Young,48,32,16,13,3,9,5,4,183,102,101,669,0.3761812746091336,0.3701727570529677,0.0,81,25,31.4,http://www.atpworldtour.com/en/players/donald-young/y124/overview,"Atlanta, GA, USA","Chicago, IL, USA",1989-07-23,2004.0,79.0,Two-Handed Backhand,,,,,,,,,,L,USA,0.1904761904761904,0.2727272727272727,0.4046511627906977
Dudi Sela,46,31,16,12,3,8,4,3,175,99,85,660,0.3886775581792397,0.3757974579032429,0.0986920777279521,76,25,34.4,http://www.atpworldtour.com/en/players/dudi-sela/sc56/overview,"Tel Aviv, Israel","Kiryat Shmonna, Israel",1985-04-04,2002.0,65.0,One-Handed Backhand,,,,,,,,,,R,ISR,0.0799999999999999,0.4651162790697674,0.3937823834196891
Dusan Lajovic,53,37,14,13,4,8,5,2,180,110,71,970,0.3817336085751222,0.3836485890130254,0.3262941351176645,82,26,32.2,http://www.atpworldtour.com/en/players/dusan-lajovic/l987/overview,"Stara Pazova, Serbia","Belgrade, Serbia",1990-06-30,2007.0,78.0,One-Handed Backhand,,,,,,,,,,R,SRB,0.4409448818897638,0.2,0.3471074380165289
Dustin Brown,54,39,17,13,9,8,5,5,196,96,109,530,0.3884549920063386,0.3920041584143389,0.1960244648318042,88,28,36.4,http://www.atpworldtour.com/en/players/dustin-brown/ba65/overview,"Winsen, Germany","Celle, Germany",1984-12-08,2002.0,78.0,Two-Handed Backhand,,,,,,,,,,R,GER,0.4230769230769231,0.4838709677419355,0.3
Edouard Roger Vasselin,52,37,15,13,4,7,4,2,188,107,91,640,0.3596183960448889,0.3887564006221154,0.2832286511863977,83,26,32.5,,,,,,,,,,,,,,,,,R,FRA,0.3888888888888889,0.3703703703703703,0.3972602739726027
Eduardo Schwank,52,35,17,13,5,8,5,3,183,114,83,670,0.328316686805651,0.3777252252252252,0.3420326576576576,84,26,26.0,http://www.atpworldtour.com/en/players/eduardo-schwank/se66/overview,"Rosario, Argentina","Rosario, Argentina",1986-04-23,2005.0,83.0,Two-Handed Backhand,,,,,,,,,,R,ARG,0.4499999999999999,0.0,0.4
Egor Gerasimov,53,38,14,13,8,7,4,4,196,110,120,642,0.4551152357494722,0.5265433999270206,0.3442426108374384,83,26,29.4,http://www.atpworldtour.com/en/players/egor-gerasimov/gc89/overview,"Belarus, Minsk","Belarus, Minsk",1992-11-11,2010.0,84.0,Two-Handed Backhand,,,,,,,,,,R,BLR,0.25,0.0,0.5925925925925926
Emil Ruusuvuori,50,35,13,12,4,7,4,4,188,114,94,852,0.4374274165089346,0.3257716444672131,0.3976007513661203,77,25,23.8,,,,,,,,,,,,,,,,,R,FIN,0.0,0.0,0.4375
Ernests Gulbis,49,37,15,13,9,7,4,4,190,109,67,1034,0.4750023287650234,0.4727324850191094,0.2010417496613815,81,26,32.9,http://www.atpworldtour.com/en/players/ernests-gulbis/g858/overview,"Jurmala, Latvia","Riga, Latvia",1988-08-30,2004.0,88.0,Two-Handed Backhand,Ernests Gulbis,6.0,,,,,1.0,,5.0,R,LAT,0.5039370078740157,0.32,0.4788135593220338
Evgeny Donskoy,48,34,17,12,5,7,5,2,185,105,104,588,0.3004278163318341,0.317496754015172,0.0874758687258687,82,26,31.4,http://www.atpworldtour.com/en/players/evgeny-donskoy/d864/overview,"Moscow, Russia","Moscow, Russia",1990-05-09,2007.0,74.0,Two-Handed Backhand,,,,,,,,,,R,RUS,0.1764705882352941,0.3333333333333333,0.3495145631067961
Evgeny Korolev,48,34,16,13,5,7,4,4,185,104,110,562,0.4024588547959932,0.4043084801966031,0.10351966873706,82,26,25.2,http://www.atpworldtour.com/en/players/evgeny-korolev/k760/overview,"Astana, Kazakhstan","Moscow, Russia",1988-02-14,2005.0,82.0,,,,,,,,,,,R,KAZ,0.4,0.125,0.4761904761904761
Fabio Fognini,48,32,16,12,3,8,5,4,178,108,41,1401,0.5044522943618461,0.5093864496168296,0.4684520447009702,81,25,35.6,http://www.atpworldtour.com/en/players/fabio-fognini/f510/overview,"Arma di Taggia, Italy","Sanremo, Italy",1987-05-24,2004.0,74.0,Two-Handed Backhand,Fabio Fognini,6.0,,,1.0,,6.0,,1.0,R,ITA,0.5511551155115512,0.4482758620689655,0.4699248120300752
Fabrice Santoro,47,32,17,12,5,8,5,2,178,109,52,783,0.4395817667300125,0.4753415763324299,0.3693830728891704,81,25,37.1,http://www.atpworldtour.com/en/players/fabrice-santoro/s424/overview,"Geneva, Switzerland",Tahiti,1972-12-09,1989.0,74.0,Two-Handed Backhand,Fabrice Santoro,1.0,,,,,,1.0,,R,FRA,0.3636363636363636,0.5,0.4852941176470589
Facundo Bagnis,51,34,15,13,5,9,5,3,183,112,110,586,0.2563590009506524,0.2333756805807622,0.1361083743842364,83,25,32.9,http://www.atpworldtour.com/en/players/facundo-bagnis/bf23/overview,"Buenos Aires, Argentina","Rosario, Argentina",1990-02-27,2008.0,82.0,Two-Handed Backhand,,,,,,,,,,L,ARG,0.2894736842105263,0.0,0.125
Federico Delbonis,48,33,15,12,3,7,4,3,190,111,71,844,0.4367631646243447,0.4470061694279666,0.2697644127307736,79,25,31.8,http://www.atpworldtour.com/en/players/federico-delbonis/d874/overview,"Azul, Argentina","Azul, Argentina",1990-10-05,2007.0,88.0,Two-Handed Backhand,Federico Delbonis,2.0,,,,,2.0,,,L,ARG,0.536144578313253,0.0,0.2777777777777778
Feliciano Lopez,50,37,18,13,11,6,4,4,188,109,40,1200,0.490390263936287,0.4982424839798978,0.105016906503106,84,27,41.0,http://www.atpworldtour.com/en/players/feliciano-lopez/l397/overview,"Madrid, Spain","Toledo, Spain",1981-09-20,1997.0,73.0,One-Handed Backhand,Feliciano Lopez,6.0,,,,,1.0,4.0,1.0,L,ESP,0.4534883720930232,0.65625,0.4903846153846153
Felix Auger Aliassime,50,37,14,13,9,6,4,4,193,120,28,2362,0.5893976308400194,0.5330875199777638,0.6760208926875593,79,26,22.4,,,,,,,,Felix Auger Aliassime,3.0,,,,,,,3.0,R,CAN,0.5,0.75,0.5076923076923077
Fernando Gonzalez,53,39,17,13,7,7,4,3,183,111,30,1882,0.6073834288916864,0.5899495378579297,0.260128343899799,86,28,31.6,http://www.atpworldtour.com/en/players/fernando-gonzalez/g415/overview,"Santiago, Chile","Santiago, Chile",1980-07-29,1999.0,82.0,One-Handed Backhand,Fernando Gonzalez,5.0,,,,1.0,3.0,,1.0,R,CHI,0.6923076923076923,0.5263157894736842,0.5869565217391305
