Joueur,1stIn,1stWon,2ndWon,SvGms,ace,bpFaced,bpSaved,df,ht,minutes,rank,rank_points,surface_winrate,surface_winrate_2y_ago,surface_winrate_lastear,svpt,total_games,age,player_url,residence,birthplace,birthdate,turned_pro,weight_kg,backhand,winner,vic_tournoi_A,vic_tournoi_F,vic_tournoi_G,vic_tournoi_M,vic_tournoi_carpet,vic_tournoi_clay,vic_tournoi_grass,vic_tournoi_hard,hand,country
David Ferrer,48,33,15,12,3,7,4,3,175,110,15,3326,0.6613202534563931,0.6733232229104953,0.4202087342188013,78,25,37.0,http://www.atpworldtour.com/en/players/david-ferrer/f401/overview,"Valencia, Spain","Javea, Spain",1982-04-02,2000.0,73.0,Two-Handed Backhand,David Ferrer,25.0,,,1.0,,12.0,2.0,12.0,R,ESP
David Goffin,47,33,17,13,5,7,4,4,180,112,32,1908,0.5585833123224717,0.585565920532874,0.34735365045719735,80,26,32.1,http://www.atpworldtour.com/en/players/david-goffin/gb88/overview,"Monte Carlo, Monaco","Rocourt, Belgium",1990-12-07,2009.0,68.0,Two-Handed Backhand,David Goffin,5.0,,,,,1.0,,4.0,R,BEL
David Nalbandian,47,33,16,12,4,7,4,3,180,110,31,1598,0.6337614903892395,0.6379593568001022,0.39250391980691646,79,25,31.2,http://www.atpworldtour.com/en/players/david-nalbandian/n301/overview,"Cordoba, Argentina","Cordoba, Argentina",1982-01-01,2000.0,79.0,Two-Handed Backhand,David Nalbandian,6.0,1.0,,2.0,1.0,3.0,,5.0,R,ARG
Denis Istomin,54,39,15,13,7,7,5,2,188,110,67,790,0.4187694106624262,0.4268984644816217,0.20060359694506033,85,27,35.4,http://www.atpworldtour.com/en/players/denis-istomin/i165/overview,"Tashkent, Uzbekistan","Orenburg, Russia",1986-09-07,2004.0,88.0,Two-Handed Backhand,Denis Istomin,1.0,,,,,,1.0,,R,UZB
Denis Kudla,50,35,18,13,6,8,4,3,180,107,106,612,0.3382851564834552,0.3282890804086974,0.2517605633802817,86,27,30.4,http://www.atpworldtour.com/en/players/denis-kudla/kb09/overview,"Arlington, VA/Tampa, FL, USA","Kiev, Ukraine",1992-08-17,2010.0,75.0,Two-Handed Backhand,,,,,,,,,,R,USA
Denis Shapovalov,51,38,18,13,8,7,5,5,185,118,35,1839,0.5374632329875296,0.5151096231056417,0.5891575459757277,85,27,23.7,http://www.atpworldtour.com/en/players/denis-shapovalov/su55/overview,"Nassau, The Bahamas","Tel Aviv, Israel",1999-04-15,2016.0,76.0,One-Handed Backhand,Denis Shapovalov,2.0,,,,,,,2.0,L,CAN
Diego Schwartzman,49,32,15,12,2,8,4,3,170,114,30,1893,0.5152616937516258,0.5082699949962144,0.5363498409947502,79,25,30.0,http://www.atpworldtour.com/en/players/diego-schwartzman/sm37/overview,"Buenos Aires, Argentina","Buenos Aires, Argentina",1992-08-16,2010.0,64.0,Two-Handed Backhand,Diego Schwartzman,3.0,,,,,2.0,,1.0,R,ARG
Dmitry Tursunov,48,35,17,13,7,7,5,4,185,105,72,940,0.47437270319506347,0.48980609251171103,0.033920940170940175,82,26,34.6,http://www.atpworldtour.com/en/players/dmitry-tursunov/t315/overview,"Moscow, Russia","Moscow, Russia",1982-12-12,2000.0,82.0,Two-Handed Backhand,Dmitry Tursunov,7.0,,,,,,2.0,5.0,R,RUS
Dominic Thiem,50,36,17,13,6,6,4,3,185,115,38,3336,0.6255566932320263,0.6421503925536236,0.4096166572796396,82,26,29.1,http://www.atpworldtour.com/en/players/dominic-thiem/tb69/overview,"Lichtenwörth, Austria","Wiener Neustadt, Austria",1993-09-03,2011.0,82.0,One-Handed Backhand,Dominic Thiem,15.0,,1.0,1.0,,10.0,1.0,6.0,R,AUT
Dominik Hrbaty,44,30,16,12,4,8,4,4,183,101,63,1068,0.41543859649122805,0.37438887072754345,0.2689035087719298,76,26,32.0,http://www.atpworldtour.com/en/players/dominik-hrbaty/h377/overview,"Monte Carlo, Monaco","Bratislava, Slovakia",1978-01-04,1996.0,79.0,Two-Handed Backhand,,,,,,,,,,R,SVK
Donald Young,48,32,16,13,3,9,5,4,183,102,101,669,0.37618127460913364,0.3701727570529677,0.0,81,25,31.4,http://www.atpworldtour.com/en/players/donald-young/y124/overview,"Atlanta, GA, USA","Chicago, IL, USA",1989-07-23,2004.0,79.0,Two-Handed Backhand,,,,,,,,,,L,USA
Dudi Sela,46,31,16,12,3,8,4,3,175,99,85,660,0.38867755817923977,0.3757974579032429,0.09869207772795216,76,25,34.4,http://www.atpworldtour.com/en/players/dudi-sela/sc56/overview,"Tel Aviv, Israel","Kiryat Shmonna, Israel",1985-04-04,2002.0,65.0,One-Handed Backhand,,,,,,,,,,R,ISR
Dusan Lajovic,53,37,14,13,4,8,5,2,180,110,71,970,0.38173360857512223,0.3836485890130254,0.32629413511766453,82,26,32.2,http://www.atpworldtour.com/en/players/dusan-lajovic/l987/overview,"Stara Pazova, Serbia","Belgrade, Serbia",1990-06-30,2007.0,78.0,One-Handed Backhand,,,,,,,,,,R,SRB
Dustin Brown,54,39,17,13,9,8,5,5,196,96,109,530,0.3884549920063386,0.39200415841433894,0.19602446483180427,88,28,36.4,http://www.atpworldtour.com/en/players/dustin-brown/ba65/overview,"Winsen, Germany","Celle, Germany",1984-12-08,2002.0,78.0,Two-Handed Backhand,,,,,,,,,,R,GER
Edouard Roger Vasselin,52,37,15,13,4,7,4,2,188,107,91,640,0.3596183960448889,0.38875640062211547,0.2832286511863977,83,26,32.5,,,,,,,,,,,,,,,,,R,FRA
Eduardo Schwank,52,35,17,13,5,8,5,3,183,114,83,670,0.32831668680565107,0.3777252252252252,0.34203265765765767,84,26,26.0,http://www.atpworldtour.com/en/players/eduardo-schwank/se66/overview,"Rosario, Argentina","Rosario, Argentina",1986-04-23,2005.0,83.0,Two-Handed Backhand,,,,,,,,,,R,ARG
Egor Gerasimov,53,38,14,13,8,7,4,4,196,110,120,642,0.4551152357494722,0.5265433999270206,0.34424261083743846,83,26,29.4,http://www.atpworldtour.com/en/players/egor-gerasimov/gc89/overview,"Belarus, Minsk","Belarus, Minsk",1992-11-11,2010.0,84.0,Two-Handed Backhand,,,,,,,,,,R,BLR
Emil Ruusuvuori,50,35,13,12,4,7,4,4,188,114,94,852,0.4374274165089346,0.32577164446721313,0.3976007513661203,77,25,23.8,,,,,,,,,,,,,,,,,R,FIN
Ernests Gulbis,49,37,15,13,9,7,4,4,190,109,67,1034,0.47500232876502346,0.47273248501910947,0.20104174966138155,81,26,32.9,http://www.atpworldtour.com/en/players/ernests-gulbis/g858/overview,"Jurmala, Latvia","Riga, Latvia",1988-08-30,2004.0,88.0,Two-Handed Backhand,Ernests Gulbis,6.0,,,,,1.0,,5.0,R,LAT
Evgeny Donskoy,48,34,17,12,5,7,5,2,185,105,104,588,0.30042781633183413,0.317496754015172,0.08747586872586874,82,26,31.4,http://www.atpworldtour.com/en/players/evgeny-donskoy/d864/overview,"Moscow, Russia","Moscow, Russia",1990-05-09,2007.0,74.0,Two-Handed Backhand,,,,,,,,,,R,RUS
Evgeny Korolev,48,34,16,13,5,7,4,4,185,104,110,562,0.4024588547959932,0.40430848019660315,0.10351966873706003,82,26,25.2,http://www.atpworldtour.com/en/players/evgeny-korolev/k760/overview,"Astana, Kazakhstan","Moscow, Russia",1988-02-14,2005.0,82.0,,,,,,,,,,,R,KAZ
Fabio Fognini,48,32,16,12,3,8,5,4,178,108,41,1401,0.5044522943618461,0.5093864496168296,0.4684520447009702,81,25,35.6,http://www.atpworldtour.com/en/players/fabio-fognini/f510/overview,"Arma di Taggia, Italy","Sanremo, Italy",1987-05-24,2004.0,74.0,Two-Handed Backhand,Fabio Fognini,6.0,,,1.0,,6.0,,1.0,R,ITA
Fabrice Santoro,47,32,17,12,5,8,5,2,178,109,52,783,0.4395817667300125,0.47534157633242996,0.3693830728891704,81,25,37.1,http://www.atpworldtour.com/en/players/fabrice-santoro/s424/overview,"Geneva, Switzerland",Tahiti,1972-12-09,1989.0,74.0,Two-Handed Backhand,Fabrice Santoro,1.0,,,,,,1.0,,R,FRA
Facundo Bagnis,51,34,15,13,5,9,5,3,183,112,110,586,0.25635900095065245,0.23337568058076225,0.1361083743842364,83,25,32.9,http://www.atpworldtour.com/en/players/facundo-bagnis/bf23/overview,"Buenos Aires, Argentina","Rosario, Argentina",1990-02-27,2008.0,82.0,Two-Handed Backhand,,,,,,,,,,L,ARG
Federico Delbonis,48,33,15,12,3,7,4,3,190,111,71,844,0.4367631646243447,0.44700616942796667,0.2697644127307736,79,25,31.8,http://www.atpworldtour.com/en/players/federico-delbonis/d874/overview,"Azul, Argentina","Azul, Argentina",1990-10-05,2007.0,88.0,Two-Handed Backhand,Federico Delbonis,2.0,,,,,2.0,,,L,ARG
Feliciano Lopez,50,37,18,13,11,6,4,4,188,109,40,1200,0.49039026393628704,0.4982424839798978,0.10501690650310602,84,27,41.0,http://www.atpworldtour.com/en/players/feliciano-lopez/l397/overview,"Madrid, Spain","Toledo, Spain",1981-09-20,1997.0,73.0,One-Handed Backhand,Feliciano Lopez,6.0,,,,,1.0,4.0,1.0,L,ESP
Felix Auger Aliassime,50,37,14,13,9,6,4,4,193,120,28,2362,0.5893976308400194,0.5330875199777638,0.6760208926875593,79,26,22.4,,,,,,,,Felix Auger Aliassime,3.0,,,,,,,3.0,R,CAN
Fernando Gonzalez,53,39,17,13,7,7,4,3,183,111,30,1882,0.6073834288916864,0.5899495378579297,0.260128343899799,86,28,31.6,http://www.atpworldtour.com/en/players/fernando-gonzalez/g415/overview,"Santiago, Chile","Santiago, Chile",1980-07-29,1999.0,82.0,One-Handed Backhand,Fernando Gonzalez,5.0,,,,1.0,3.0,,1.0,R,CHI
Fernando Verdasco,54,38,14,13,6,7,4,4,188,113,33,1519,0.5271282746712178,0.5289177674483504,0.2478694432182804,81,26,39.2,http://www.atpworldtour.com/en/players/fernando-verdasco/v306/overview,"Doha, Qatar","Madrid, Spain",1983-11-15,2001.0,87.0,Two-Handed Backhand,Fernando Verdasco,6.0,,,,,4.0,,2.0,L,ESP
Filip Krajinovic,48,34,14,12,4,7,4,2,185,104,73,1050,0.45406519985120525,0.47276099235092506,0.38133893726728,77,24,30.9,http://www.atpworldtour.com/en/players/filip-krajinovic/kb05/overview,"Monte Carlo, Monaco","Sombor, Serbia",1992-02-27,2008.0,75.0,Two-Handed Backhand,,,,,,,,,,R,SRB
Filippo Volandri,49,31,11,11,1,8,4,2,183,96,65,725,0.3607277417296032,0.3729650140646976,0.0,73,23,34.8,http://www.atpworldtour.com/en/players/filippo-volandri/v254/overview,"Livorno, Italy","Livorno, Italy",1981-09-05,1997.0,73.0,One-Handed Backhand,Filippo Volandri,1.0,,,,,1.0,,,R,ITA
Flavio Cipolla,50,31,11,11,1,10,6,4,173,106,110,554,0.30297331837646235,0.3003675387042527,0.2207525730598753,76,23,29.5,http://www.atpworldtour.com/en/players/flavio-cipolla/c723/overview,"Rome, Italy","Rome, Italy",1983-10-20,2003.0,74.0,One-Handed Backhand,,,,,,,,,,R,ITA
Florent Serra,51,34,16,12,4,9,5,2,180,100,74,701,0.39127833701657866,0.40019724278192564,0.052778796771826855,84,25,32.2,http://www.atpworldtour.com/en/players/florent-serra/s963/overview,"Issy-les-Moulineaux, France","Bordeaux, France",1981-02-28,2000.0,78.0,Two-Handed Backhand,Florent Serra,2.0,,,,,1.0,,1.0,R,FRA
Florian Mayer,46,32,14,12,4,7,4,2,190,93,63,932,0.4383025741534511,0.45962258355058294,0.19761784076993755,75,24,34.7,http://www.atpworldtour.com/en/players/florian-mayer/mb02/overview,"Bayreuth, Germany","Bayreuth, Germany",1983-10-05,2001.0,82.0,Two-Handed Backhand,Florian Mayer,3.0,,,,,2.0,1.0,,R,GER
Frances Tiafoe,54,38,18,14,7,8,5,3,188,121,64,1082,0.4428318266998244,0.40927049684907946,0.5123999340318126,89,28,25.0,http://www.atpworldtour.com/en/players/frances-tiafoe/td51/overview,"Orlando, FL, USA","Hyattsville, MD, USA",1998-01-20,2015.0,77.0,Two-Handed Backhand,Frances Tiafoe,1.0,,,,,,,1.0,R,USA
Frank Dancevic,48,34,16,13,8,7,4,3,185,96,140,412,0.32858908160112976,0.3196205503897811,0.6245421245421245,79,26,32.8,http://www.atpworldtour.com/en/players/frank-dancevic/d499/overview,"Niagara Falls, Canada","Niagara Falls, Canada",1984-09-26,2003.0,79.0,One-Handed Backhand,,,,,,,,,,R,CAN
Frederico Gil,48,31,13,12,2,8,5,2,178,105,101,617,0.4048919860627177,0.4126252771618625,0.370791403718233,77,23,27.2,,,,,,,,,,,,,,,,,R,POR
Gael Monfils,51,37,15,13,8,6,4,4,193,108,30,1759,0.6160385436817999,0.6200628358656529,0.45741870967136855,81,26,35.9,http://www.atpworldtour.com/en/players/gael-monfils/mc65/overview,Switzerland,"Paris, France",1986-09-01,2004.0,80.0,Two-Handed Backhand,Gael Monfils,11.0,,,,,1.0,,10.0,R,FRA
